BARCODE,FORMATTED_BATCH_ID,WELL_REF
A053, CBP-0017919-01, E15
A053, CBP-0017949-01, K15
A053, CBP-0017960-01, M19
A053, CBP-0017970-01, O19
A053, CBP-0017998-01, E18
A053, CBP-0018004-01, G10
A053, CBP-0018018-01, I18
A053, CBP-0018107-01, L22
A053, CBP-0018160-01, H09
A053, CBP-0018166-01, H21
A053, CBP-0018167-01, J03
A053, CBP-0018170-01, J09
A053, CBP-0018186-01, L21
A054, CBP-0018217-01, C03
A054, CBP-0018224-01, C17
A054, CBP-0018246-01, G21
A054, CBP-0018258-01, K05
A054, CBP-0018284-01, O19
A054, CBP-0018315-01, E22
A054, CBP-0018318-01, G08
A054, CBP-0018319-01, G10
A054, CBP-0018326-01, I04
A054, CBP-0018332-01, I16
A054, CBP-0018335-01, I22
A054, CBP-0018338-01, K08
A054, CBP-0018339-01, K10
A054, CBP-0018357-01, O06
A054, CBP-0018362-01, O16
A054, CBP-0018371-01, B14
A054, CBP-0018389-01, F10
A054, CBP-0018394-01, F20
A054, CBP-0018398-01, H08
A054, CBP-0018399-01, H10
A054, CBP-0018406-01, J04
A054, CBP-0018429-01, N10
A054, CBP-0018442-01, P20
A054, CBP-0018446-01, B09
A054, CBP-0018453-01, D03
A054, CBP-0018464-01, F05
A054, CBP-0018506-01, N13
A054, CBP-0018517-01, P15
A054, CBP-0018519-01, P19
A054, CBP-0018520-01, P21
A055, CBP-0018598-01, O21
A055, CBP-0018718-01, J06
A055, CBP-0018720-01, J10
A055, CBP-0018746-01, P04
A055, CBP-0018750-01, P12
A055, CBP-0018751-01, P14
A055, CBP-0018775-01, D21
A055, CBP-0018802-01, J17
A055, CBP-0018825-01, P03
A056, CBP-0018838-01, A09
A056, CBP-0018869-01, G13
A056, CBP-0018906-01, O09
A056, CBP-0018980-01, M22
A056, CBP-0018995-01, B12
A056, CBP-0019029-01, H22
A056, CBP-0019030-01, J04
A056, CBP-0019034-01, J12
A056, CBP-0019040-01, L06
A056, CBP-0019094-01, F15
A056, CBP-0019142-01, P11
A056, CBP-0019146-01, P19
A057, CBP-0019158-01, C03
A057, CBP-0019201-01, K09
A057, CBP-0019207-01, K21
A057, CBP-0019210-01, M07
A057, CBP-0019236-01, A22
A057, CBP-0019269-01, I08
A057, CBP-0019273-01, I16
A057, CBP-0019320-01, D20
A057, CBP-0019346-01, J16
A057, CBP-0019404-01, F11
A057, CBP-0019412-01, H07
A058, CBP-0019504-01, I13
A058, CBP-0019526-01, M17
A058, CBP-0019543-01, A12
A058, CBP-0019553-01, C14
A058, CBP-0019582-01, I12
A058, CBP-0019615-01, O18
A058, CBP-0019630-01, D08
A058, CBP-0019649-01, H08
A058, CBP-0019667-01, L04
A058, CBP-0019686-01, N22
A058, CBP-0019687-01, P04
A058, CBP-0019697-01, B03
A058, CBP-0019727-01, H03
